,Tweets,polarity,Negative,Neutral,Positive,Compound
13,"RT @onyeoma_kc: I wonder why people are making a joke out of Abba Kyari, he was a good leader who was passionate about this country, he als…","{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.8176}",0.0,0.712,0.288,0.8176
14,"RT @AshramSagwara: @asharamjibapu_ संत श्री आशारामजी आश्रम सागवाड़ा, राजस्थान द्वारा पूज्य बापूजी के 84वें अवतरण दिवस की सेवा के क्रम में 1…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
15,"Wedding limit of 5 people. Funeral limit of 10.

Twice as popular to die rather than get married😂😂😂@BarnsleyFC #JustSaying #Covid_19 #Corona","{'neg': 0.244, 'neu': 0.649, 'pos': 0.107, 'compound': -0.5574}",0.244,0.649,0.107,-0.5574
16,@phosphenessss_ corona kpn ilang yaallah,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
17,@EinsteinBarbie @globalistaa @AnneHoozemans Ik gil steeds AFSTAND. Ga er maar aan toevoegen dat ik Corona heb.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
18,Dün arkadaşımla konuşuyorduk dedi ki corona mevzusu bitince de can güvenliğimiz tehlikede diye çıkamayacağız dışarı… https://t.co/vEnzCVuMxm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
19,RT @niiravmodi: NEW: India is the only country in the world to impose taxes on Medical equipments like PPEs &amp; Masks amidst Corona Pandemic.…,"{'neg': 0.082, 'neu': 0.824, 'pos': 0.094, 'compound': 0.0772}",0.082,0.824,0.094,0.0772
20,@Rom_Toss @jon9641 @TheRightMelissa @chelseahandler Alright. Name every person who has had Corona then,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.25}",0.0,0.857,0.143,0.25
21,"RT @dernand_: ken yu imejin:

corona, walau dibenci 1 dunia dia ttp enjoy jalan di catwalk sambil nengok kanan kiri","{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4939}",0.0,0.849,0.151,0.4939
22,"Now that I had a lot of time during Corona, I finally reread the Harry Potter books again! I fell in love with them… https://t.co/Yu4aW98glD","{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.6696}",0.0,0.817,0.183,0.6696
23,RT @OoglePride: Squatting during corona be like. https://t.co/PTs3hnY6Gr,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",0.0,0.737,0.263,0.3612
24,RT @lcmenegassi: @VSertanejo @gsokamotonego . . . cheio de corona na cidade,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
25,RT @LastPriceGH: Maybe after corona we gonna have a bigger market with less prices All unlocked phones with iPad Pro second generation avai…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
26,"RT @imanlagi: “Ayolah kita tetap solat jumat! Takut tuh sama Allah bukan sama Corona!” 

Pas jumatan: https://t.co/qvPjB9U9wG","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
27,RT @yansrijal: Guys. Ini serius. Wabah corona bakal masih lama banget. Buat kamu yang sekarang masih sehat. Jangan sia siakan kesehatanmu.…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
28,"#मेरा_पैसा_मेरी_मर्जी फलों सब्जियो में थूक लगा कर बेचा जा रहा है, कौरोना वायरस फैलाने के लिए। 
Pl dont buy anything… https://t.co/yB2Ivfr6Pl","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
29,"RT @Kenyafootball: Your government flew in rich kids from US for free who infected a @KenyaAirways pilot with Corona, but is now imposing h…","{'neg': 0.136, 'neu': 0.7, 'pos': 0.164, 'compound': 0.1901}",0.136,0.7,0.164,0.1901
30,Must watch this corona awareness video of Arjun Bijlani @Republic_Bharat https://t.co/CjMyX4dVXc,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
31,"RT @BiyiThePlug: East African countries like Kenya, Tanzania, Uganda, Somalia are currently experiencing the second wave of the World large…","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}",0.0,0.884,0.116,0.3612
32,"RT @DostKhan_Jammu: Badi Khabar
Nigeria: Security Forces Shot Dead 28 Persons, Who Violated #CoronaLockdown

Nigerian Anti-Corona Policy:
""…","{'neg': 0.307, 'neu': 0.598, 'pos': 0.096, 'compound': -0.743}",0.307,0.598,0.096,-0.743
33,Corona virüsü gectikten sonra piskolojik tedavi görmekle mücadele edicez sanırım,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
34,Dünyayı 250 gram yönetiyordu corona yönetime el koydu.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
35,RT @_YogendraYadav: Sad to think that Dr Kafeel Khan is still in jail for a lecture full of patriotism that was delivered in my presence at…,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.4767}",0.114,0.886,0.0,-0.4767
36,"RT @kfelipee92: CORONA VÍRUS VAI EMBORA PELO AMOR DE DEUS, EU PRECISO RESOLVER MINHA VIDA","{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.8001}",0.0,0.645,0.355,0.8001
37,"RT @RaMeR_31: Werdet ihr auch als Corona-Leugner abgestempelt?🤔
Ist ja nicht so das ich sage da ist keine schlimme Krankheit... Aber die Ma…","{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.5994}",0.151,0.849,0.0,-0.5994
38,"RT @kfelipee92: CORONA VÍRUS VAI EMBORA PELO AMOR DE DEUS, EU PRECISO RESOLVER MINHA VIDA","{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.8001}",0.0,0.645,0.355,0.8001
39,I am staying home from this corona virus best as I can #coronavirus#stayhome#besafe,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.0,0.704,0.296,0.6369
40,RT @icedoutomnitrix: corona destroyed my life,"{'neg': 0.39, 'neu': 0.61, 'pos': 0.0, 'compound': -0.4939}",0.39,0.61,0.0,-0.4939
41,@chabibfredy wkwk area mu aman corona rak,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
42,"RT @KTHopkins: With excellent social distancing, this local hardware, pet-food &amp; plant store has defied a council order to close for corona…","{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.5719}",0.0,0.844,0.156,0.5719
43,"RT @nagafujihideki: 本日4/18の堺市民の新たな陽性者は1人でした。※検査数40人（堺市HP）「市内の発生状況」https://t.co/Dqt0FLclb7
◆臨時休業期間中の児童や生徒、市民の皆様が自宅で学べるリンク集を堺市HPに掲載しています。ぜひご活…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
44,"RT @nusawartainfo: IDI Tak Dapat Data dari Pemerintah soal Dokter dan Perawat yang Terpapar Corona
https://t.co/ZvclFqwmBr","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
45,"I don’t know one “liberal” expressing regret, his last approval on corona was over 70, that will decline because of… https://t.co/sajhPmuQax","{'neg': 0.117, 'neu': 0.753, 'pos': 0.13, 'compound': 0.0772}",0.117,0.753,0.13,0.0772
46,"RT @kfelipee92: CORONA VÍRUS VAI EMBORA PELO AMOR DE DEUS, EU PRECISO RESOLVER MINHA VIDA","{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.8001}",0.0,0.645,0.355,0.8001
47,"RT @drjahanpur: سندی دیگر از #جنایت_علیه_بشریت و #تحريم ظالمانه دارو و تجهیزات پزشکی علیه #ملت_ایران

عمله های #رسانه ای به ظاهر پارسی  گوی…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
48,RT @undipmenfess: Kangen tembalang tanpa corona :( -dips! https://t.co/j3AxmBRsAw,"{'neg': 0.285, 'neu': 0.715, 'pos': 0.0, 'compound': -0.4926}",0.285,0.715,0.0,-0.4926
49,RT @DiRealSolly: Me kinda jus a stay away from all corona related news cause if me read nuh more me anxiety ago kill me off,"{'neg': 0.233, 'neu': 0.767, 'pos': 0.0, 'compound': -0.7703}",0.233,0.767,0.0,-0.7703
50,RT @elnin0: Da mich die Entwicklung von @PeppPt für bedenklich halte hier ein Thread: @PeppPt ist gestartet worden um Experten zusammen zu…,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.5994}",0.157,0.843,0.0,-0.5994
51,RT @onderseren: Kraliçe Elizabeth'te de corona çıkmış. Gerçek game of thrones başlıyor.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
52,"RT @MaleehaHashmey: PM #ImranKhan at his BEST! 👇😂

""میں حیران ہوں کہ ہمارے ملک میں چند لوگ شدید مایوس ہیں کہ پاکستان میں #Corona وائرس بہت…","{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.7371}",0.0,0.827,0.173,0.7371
53,Detta sägs för lite. Saker att lära sig av corona? https://t.co/p2VhggwKp0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
54,corona  virüs tiyatrosu https://t.co/OmNH6kqVj7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
55,RT @detikcom: Masyarakat tidak perlu panik krisis ekonomi 1998 akan terulang lagi di tengah merebaknya Corona. Baca di sini perbedaannya: #…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
56,#karantina #corona 🍽🍽 https://t.co/GCCQvgwGCl,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
57,RT @gabonn: Kampf gegen Pandemie: Auch Rolling Stones bei großem Corona-Benefizkonzert https://t.co/qvH0WNfONw,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
58,@fineIvne bot being allowed to order off there cos of corona 😭,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
59,"RT @detikcom: Menko Kemaritiman dan Investasi Luhut Pandjaitan sempat heran yang meninggal karena Corona tak sampai 500 orang. Kini, jumlah…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
60,RT @yamadataro43: 政府は様々なコロナ対策を策定。が、政府広報が縦割りかつ脆弱で正しい情報が伝わっていません。山田太郎事務所では各省庁に支援内容をヒアリング、ニーズに合った支援を探せるサイトを構築！実際の制度申請の経験なども書き込んで、皆さんに育ててもらうサイト…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
61,"RT @Manasena_: Before we r telling stay away from negative ppls...
But now 
Stay away from positive ppls 
Coz of #Corona 🤣🤣🤣","{'neg': 0.141, 'neu': 0.722, 'pos': 0.137, 'compound': -0.0258}",0.141,0.722,0.137,-0.0258
62,"RT @ani30oct: #MahaHotspotsInDanger
Maharashtra is Hotspot of India for Corona Spread now with 3320 Corona patients. It seems that only mah…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
63,"GOVT. NEED NOT TO HIDE CORONA INFECTED'S NAME, ADDRESS TO SOCIETY . BCOZ, KNOWING THEM, WE CAN SELF ANALYSIS THAT..… https://t.co/rUI2MAtfGw","{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.2641}",0.0,0.902,0.098,0.2641
64,"RT @imanlagi: “Ayolah kita tetap solat jumat! Takut tuh sama Allah bukan sama Corona!” 

Pas jumatan: https://t.co/qvPjB9U9wG","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
65,"RT @DonaldJTrumpJr: If you like Corona in your country, you’ll love Huawei in your home. 

UK moves to drop Huawei as 5G vendor China trans…","{'neg': 0.068, 'neu': 0.714, 'pos': 0.218, 'compound': 0.6808}",0.068,0.714,0.218,0.6808
66,RT @CloudsMediaLive: Askofu wa Kanisa la Katoliki Jimbo la Rulenge-Ngara mkoani Kagera Severine Niwemugizi ametangaza kusitishwa kwa ibada…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
67,"Covid-19 -  Coronavirus Universe (chocolate sculpture)
#Covid_19 #COVID #coronavirus #Corona #Coronakrise… https://t.co/IPqTmpRgRu","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
68,RT @DunyaNews: وزیراعظم عمران خان کا پولیس سے کہنا ہے کہ لاک ڈاؤن ڈنڈے سے کامیاب نہیں ہو گا بلکہ شہریوں کو خود سمجھنا ہو گا کہ لاک ڈاؤن ان…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
69,RT @CloudsMediaLive: Askofu wa Kanisa la Katoliki Jimbo la Rulenge-Ngara mkoani Kagera Severine Niwemugizi ametangaza kusitishwa kwa ibada…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
70,RT @ReallySwara: बबीता जी @BabitaPhogat  यह statistics भी देखें! क्या इन लाखों भक्तगण के corona test हुए हैं?  कृपया इसपर भी टिप्पणी दें! औ…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
71,"Corona virüs tedavisi gören Prof. Dr. Sağlam hocamızdan bizlere uyarı ❕
https://t.co/UzaCrmTWz3","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
72,"RT @twitpos: Masinton PDIP: Perppu Corona Kepentingan Nyata Oligarki
🤔
https://t.co/DL1oFbYila","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
73,"Nyalain tv isinya berita corona
Buka sosmed isinya berita maling","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
74,"RT @kfelipee92: CORONA VÍRUS VAI EMBORA PELO AMOR DE DEUS, EU PRECISO RESOLVER MINHA VIDA","{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.8001}",0.0,0.645,0.355,0.8001
75,"RT @Aboa_Banku: This corona lockdown has made ""What Are u doing""  ay3s3 low shedding 
Barko anopa 
Barko anadwo 

eiii 😂","{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.2732}",0.11,0.89,0.0,-0.2732
76,De manier waarop de Corona app wordt doorgedrukt schreeuwt om parlementaire interventie @PieterOmtzigt @LodewijkA… https://t.co/pGTRDe8hNl,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
77,@anabcam_ e o corona vírus tb,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
78,life was so much easier before corona,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.4728}",0.0,0.661,0.339,0.4728
79,"@AnubhavMohanty_ @Naveen_Odisha @CMO_Odisha @bjd_odisha ଓଡିଶା ପାଇଁ ଆମେ ଗର୍ବିତ, 
ଦେଶର ଅନ୍ୟ ରାଜ୍ୟ ତୁଳନାରେ କମ୍ corona ଆକ୍ରାନ୍ତ ଓଡିଶା,","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
80,"RT @ZeitW: Es wundert mich nicht, dass kein Genosse der #SPD jemals auf die Kürzung der Abgeordneten Diäten gekommen ist !?🤔

https://t.co/…","{'neg': 0.166, 'neu': 0.834, 'pos': 0.0, 'compound': -0.636}",0.166,0.834,0.0,-0.636
81,RT @Maximilian_Popp: Ungarn hat mehr Geld aus einem Corona-Hilfsprogramm der EU bekommen als jedes andere Land. Und das obwohl Ungarn kaum…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
82,"RT @matstrolz: Ich finde, #China schuldet der Welt die Möglichkeit auf eine unabhängige Untersuchung, ob das #Corona-Virus ein Laborunfall…","{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.5994}",0.178,0.822,0.0,-0.5994
83,RT @lynnelhagee: scary how if Corona hadn’t happened I’d be panic studying/cramming for my AS exams rn,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.7579}",0.302,0.698,0.0,-0.7579
84,"RT @Mboro_Post: Join Devon O'Day and her guests, pediatrician, Dr. Scott Huitink, insurance agent, Harvey Durham, folk music artist, Mark E…","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.296}",0.0,0.901,0.099,0.296
85,@CEOHawk cut that corona pack on by Lucci,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.2732}",0.231,0.769,0.0,-0.2732
86,"RT @ABHISHE21014257: The house to which Corona also puts stones on the fighters  So terror will arise from their womb  Not patriot

#मेरा_…","{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.5984}",0.189,0.811,0.0,-0.5984
87,"RT @Vijaykarthikeyn: #Tiruppur #Corona #Update 
As of 18.4.20, 8pm
Total people under House #Quarantine-848
94 people are out of quarantine…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
88,"कोरोना हमारा शत्रु नहीं, बल्कि हमारे शत्रुओं का हथियार है
हम हथियार से ही लड़े जा रहे हैं और शत्रु हंस रहे हैं।
Cor… https://t.co/U1g8f71IEs","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
89,"""Immer mehr Ärzte beobachten, dass sich der Zustand von Covid-19-Patienten rasch verschlechtert, sobald ihnen Schlä… https://t.co/oJ3ZyhqdXS","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
90,"RT @Rodriguinhoss11: Albuquerque : "" Isso não foi a msm senhora que disse que o Corona Virus não chegava a Portugal ? ""

Fds que rei 😂","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
91,"RT @earadiofm: #HABARI Mkuu wa Mkoa wa Mbeya, Albert Chalamila, ametengua kauli yake ya kuzifunga baa zote ifikapo saa tatu usiku, badala y…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
92,"Happy Saturday fuckers!
So to get out of cleaning his room, my son (9) 😥 looks at me and says, ""Dad, I think I have… https://t.co/8b0XSxynNl","{'neg': 0.145, 'neu': 0.727, 'pos': 0.128, 'compound': -0.126}",0.145,0.727,0.128,-0.126
93,"RT @iamLXRDTM: 150 years is a reach. The @PoliceNG is in a race to kill more people in this lockdown than the Corona Virus. Every day, you…","{'neg': 0.163, 'neu': 0.799, 'pos': 0.038, 'compound': -0.6808}",0.163,0.799,0.038,-0.6808
94,"gue kangen ngomong :
- “otw”
- “anjirr macet bet tudei hari apasik?”
- “kpn nyampenya ini nyet kalo macet begini”
-… https://t.co/NveZz8ZCdW","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
95,RT @DKGUWOP: You might cure Corona,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
96,"RT @SACHKAHOON: लुधियाना के एसीपी अनिल कोहली की कोरोना से मौत, प्रदेश में मौत का आंकड़ा 16 पहुंचा https://t.co/RBtyRIhPrH https://t.co/dppp…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
97,"RT @bopanc: The German city of Jena, unlike the rest of the country, introduced mandatory wearing of face masks in shops and public transpo…","{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.0772}",0.0,0.947,0.053,0.0772
98,@neeraambal Corona வ விட கொடிய நோயா இருக்கும் போலயே https://t.co/7Sse1ElglF,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
99,"RT @MFS_Rizvii: ہم کشمیر کے ساتھ کھڑے ہیں!
O the Rulers of the World! Please Help Kashmir.
Corona is the Divine punishment.
#TLP
#دنیارفتہ_…","{'neg': 0.102, 'neu': 0.605, 'pos': 0.293, 'compound': 0.717}",0.102,0.605,0.293,0.717
