,Tweets,polarity,Negative,Neutral,Positive,Compound
20,"RT @HayleyKiyoko: Life is a journey full of changes, good and bad, and I don’t think we should ever be ashamed of or hide who we are.  I’ve…","{'neg': 0.25, 'neu': 0.663, 'pos': 0.087, 'compound': -0.6597}",0.25,0.663,0.087,-0.6597
21,RT @Coblebraden: I was a good ass friend to some sorry ass people &amp; I regret that,"{'neg': 0.44, 'neu': 0.317, 'pos': 0.242, 'compound': -0.6124}",0.44,0.317,0.242,-0.6124
22,"RT @TeacherDevTrust: If you haven't managed to register for one of our #CPDConnectUp
sessions yet then you've picked a good week to start!…","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4926}",0.0,0.868,0.132,0.4926
23,"RT @Pastor__West: Dear Lord,

Today, may You bring a quick and miraculous end to the darkness in our world. Whether Your healing comes toda…","{'neg': 0.078, 'neu': 0.82, 'pos': 0.102, 'compound': 0.1531}",0.078,0.82,0.102,0.1531
24,RT @rahm3sh: That wasn’t a good idea 😆 https://t.co/QWKO7F59K6,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.0,0.674,0.326,0.4404
25,RT @ShittuMonsurat7: @akeula_trendy Exactly sir the good and the bad that people do live after them kasa ma se dada,"{'neg': 0.143, 'neu': 0.738, 'pos': 0.119, 'compound': -0.1531}",0.143,0.738,0.119,-0.1531
26,"RT @highdreamer26: For those who do not know yet, Phantom of the Opera is now free on youtube for 48 hours. Don't miss out on this opportun…","{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.5781}",0.0,0.841,0.159,0.5781
27,@WadidXD Good luck Wadid,"{'neg': 0.0, 'neu': 0.253, 'pos': 0.747, 'compound': 0.7096}",0.0,0.253,0.747,0.7096
28,day one was sooo good!! see y’all again at 4am,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.5399}",0.0,0.721,0.279,0.5399
29,"RT @maestroroy: At around 12:45am this morning my wife gave birth to a bouncing baby boy 
God is good","{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.6124}",0.0,0.762,0.238,0.6124
30,@Stake Well so good for other but im busted and never get to top 100 but still enjoy thanks stake 😊😊,"{'neg': 0.063, 'neu': 0.534, 'pos': 0.403, 'compound': 0.8802}",0.063,0.534,0.403,0.8802
31,"RT @loonapress: [KB] 200418 Knowing Unnies Team won the final game so they were all gifted a fancy pork set each! 🥩👏

Good job girls! 

@lo…","{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.8011}",0.0,0.762,0.238,0.8011
32,"RT @drapertools: #WIN! A Draper Home Improvement Tool Kit to help you tackle your next DIY project.

The prize includes a tool bag, screwdr…","{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.8516}",0.0,0.672,0.328,0.8516
33,RT @DannyDuncan69: I’m good at everything.. even things you didn’t know were a thing https://t.co/RzCuhGVJxP,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}",0.0,0.818,0.182,0.4404
34,@Ksrnv @OL_Central @mymtbrain @SaraNSanchezR @Canmore3Girl @mary_markssngr @misskittykath10 @MoolachArd @Pennyyo79… https://t.co/qo1Ye3ZlIQ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
35,An y’all women ain’t no better than us. Y’all put unrealistic expectations on niggas too. “Don’t cheat.” Bitch wtf? That’s ALL im good at.,"{'neg': 0.339, 'neu': 0.5, 'pos': 0.161, 'compound': -0.7506}",0.339,0.5,0.161,-0.7506
36,"@Ephra3 @DignifiedFrolic @gaming_rats @GameSpot Didn't say it doesn't, it's just not as good as the xbox series X","{'neg': 0.131, 'neu': 0.869, 'pos': 0.0, 'compound': -0.3412}",0.131,0.869,0.0,-0.3412
37,"@citizenstores regular doyoung set 260k
koleksi pribadi, masih good condi semuanya. bisa syopi freeong","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}",0.0,0.818,0.182,0.4404
38,RT @RogueFirstLady: Good morning friend in the Twitter. Is terrible here.,"{'neg': 0.18, 'neu': 0.465, 'pos': 0.355, 'compound': 0.4588}",0.18,0.465,0.355,0.4588
39,"RT @Education4Libs: Dear libs,

Being a good singer or actor does NOT make you an expert in politics.

And it certainly does not make you a…","{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.7845}",0.0,0.736,0.264,0.7845
40,"NO drugs, the much healthier choice, just sparkling water with the boys, but i’d kill them ALL for just ONE la croi… https://t.co/95hBlfrSPW","{'neg': 0.283, 'neu': 0.664, 'pos': 0.053, 'compound': -0.8367}",0.283,0.664,0.053,-0.8367
41,"RT @Holesbel: Rich people: were gonna be ok

Me: shut up rich person, open your purse, were not the fucking same

Beyoncé Giselle Knowles H…","{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.8555}",0.0,0.701,0.299,0.8555
42,@DawsOrion83 So far so good but I haven't gotten out of bed until yet. Be well everyone.,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.6352}",0.0,0.73,0.27,0.6352
43,Good move https://t.co/401FaBztMZ,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.0,0.408,0.592,0.4404
44,"RT @ter_lotte: Good morning💕
Have a lovely day😘 https://t.co/4cUGEyd5rl","{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.7717}",0.0,0.472,0.528,0.7717
45,@DrOliviaDoll1 @VictorianCHO @Doc_Samantha A good walk spoiled.,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.0,0.633,0.367,0.4404
46,"RT @SatyaPrakashAAP: Deputy CM @msisodia personally ensuring that good quality food is served in Delhi. 
#DelhiFightsCovid https://t.co/lj9…","{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.6124}",0.0,0.75,0.25,0.6124
47,RT @xtianisabsent: marry a guy who is good to his mom.,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.0,0.756,0.244,0.4404
48,RT @igetloudtff: I’m a good ass girlfriend &amp; a good ass woman. I don’t trip on shit unless I feel like I’m being lied to or taken for grant…,"{'neg': 0.334, 'neu': 0.456, 'pos': 0.21, 'compound': -0.7096}",0.334,0.456,0.21,-0.7096
49,"RT @cangal21: No matter what happens.

No matter how hard Trudeau tries to destroy Canada

No matter how much he tries to ruin Alberta and…","{'neg': 0.442, 'neu': 0.462, 'pos': 0.095, 'compound': -0.9186}",0.442,0.462,0.095,-0.9186
50,이 나쁜 is a byungchanphobic song but it's so good..... a whole travesty,"{'neg': 0.377, 'neu': 0.623, 'pos': 0.0, 'compound': -0.754}",0.377,0.623,0.0,-0.754
51,"RT @richardmarx: Hey, remember how for years we had “smoking” and “non-smoking” sections of planes and restaurants? Then, eventually, enoug…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
52,@PandoraSpox1 This is a good book. The Herbal Medicine Makers Handbook. It covers most everything one would need to… https://t.co/2eQcx3BbAj,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.4404}",0.0,0.861,0.139,0.4404
53,@Knox_Harrington There’s so much good music coming out right now. Have you heard Saint Cloud by Waxahatchee?,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.4902}",0.0,0.834,0.166,0.4902
54,"Good morning JIMIN 🥰🥰
#BANGBANGCON 
@BTS_twt https://t.co/Wg4UGOZGxz","{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.0,0.674,0.326,0.4404
55,JIMIN LOOKS SO GOOD AHHH -INTENSE FANGIRL- #BANGBANGCON #ThankYouBTS,"{'neg': 0.0, 'neu': 0.479, 'pos': 0.521, 'compound': 0.8232}",0.0,0.479,0.521,0.8232
56,"RT @EJH95_: Depression is a CUNT. You can finally be back on the right path, feeling good &amp; doing well. Then one day. BOOM. You wake up in…","{'neg': 0.211, 'neu': 0.609, 'pos': 0.18, 'compound': -0.4824}",0.211,0.609,0.18,-0.4824
57,RT @alexpardee: Card games are the only time that “KKK” and “666” are potentially good combinations.,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.0,0.838,0.162,0.4404
58,@caralisamel the first fan kinda sound like a fangirl too how are they so good at screaming T_____T,"{'neg': 0.119, 'neu': 0.539, 'pos': 0.342, 'compound': 0.6596}",0.119,0.539,0.342,0.6596
59,RT @CA11MEKATIE: Love reading this good news! https://t.co/Vg87vhACbd,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.8122}",0.0,0.448,0.552,0.8122
60,"@B16pal Happy birthday, Marah!  I had my birthday during the lockdown as well. Clearly I'm in very good company (al… https://t.co/tFUtIQ5dHJ","{'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.8997}",0.0,0.572,0.428,0.8997
61,"@ashoswai Kangana is such a stupid. at the peak of career she leaned toward right wing ideology,she succumbs to mod… https://t.co/W6qYsa4cAF","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.5267}",0.152,0.848,0.0,-0.5267
62,@ABCWorldNews @DavidMuir @DrJAshton Muir isn't good for America and it's people,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.3412}",0.194,0.806,0.0,-0.3412
63,RT @rahm3sh: That wasn’t a good idea 😆 https://t.co/QWKO7F59K6,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.0,0.674,0.326,0.4404
64,RT @MaxduPreez: It was good journalism. Masuku is showing his true colours,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.6908}",0.0,0.637,0.363,0.6908
65,RT @Blackkout__: Her voice is good for my mental health. I feel better now. 😂☺️ https://t.co/lm9pJ8IbEp,"{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.7003}",0.0,0.691,0.309,0.7003
66,RT @PerfectCell8948: Good morning lower lifeforms https://t.co/GaWtpmWdht,"{'neg': 0.218, 'neu': 0.495, 'pos': 0.287, 'compound': 0.1779}",0.218,0.495,0.287,0.1779
67,"@Timcast That’s why when everyone was out buying TP and doing home improvement projects, and trying to become a 5 s… https://t.co/uu71b78ymZ","{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.4588}",0.0,0.864,0.136,0.4588
68,"RT @alanalda: Treat yourself to a couple of minutes of feeling good. These babies are wearing hearing aids, and for the first time they're…","{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.7269}",0.0,0.738,0.262,0.7269
69,@BabitaPhogat आपके साथ हमलोग भी है good wOrk for you,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.0,0.756,0.244,0.4404
70,"RT @alanalda: Treat yourself to a couple of minutes of feeling good. These babies are wearing hearing aids, and for the first time they're…","{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.7269}",0.0,0.738,0.262,0.7269
71,@terrij68 @Elizabe20156236 @riccimike I’ll just check the electoral map in November. ✅ Feels good to be on the right side of history.,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4404}",0.0,0.873,0.127,0.4404
72,RT @DannyDuncan69: I’m good at everything.. even things you didn’t know were a thing https://t.co/RzCuhGVJxP,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}",0.0,0.818,0.182,0.4404
73,"@MaryanneChisho2 Having such a good time, looki g so guilty. I love the way the creme colored guy steps off and acts all casual.🤣😅🤣😎😍","{'neg': 0.125, 'neu': 0.621, 'pos': 0.254, 'compound': 0.5806}",0.125,0.621,0.254,0.5806
74,@JustNanaAma @afadjato @johndumelo1 mounting real pressure on her.  Its good tho,"{'neg': 0.156, 'neu': 0.638, 'pos': 0.206, 'compound': 0.1779}",0.156,0.638,0.206,0.1779
75,@poirotto I already pass this idea to my dad. He has the connection to the right people who can make these kind of… https://t.co/hJuBdZKcb6,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.5267}",0.0,0.866,0.134,0.5267
76,Sengyazela 😂😂 good night https://t.co/fDkGVGqNDG,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.0,0.58,0.42,0.4404
77,RT @richbrian: listening to Bali on max volume &amp; shaking my ass alone in my living room its gonna be a good day,"{'neg': 0.256, 'neu': 0.641, 'pos': 0.103, 'compound': -0.5106}",0.256,0.641,0.103,-0.5106
78,RT @RTMcFadyen: Worried about Hunter Biden’s salary for his job but paying hookers for the trumps is all good. Paid by contributions? https…,"{'neg': 0.06, 'neu': 0.794, 'pos': 0.146, 'compound': 0.5023}",0.06,0.794,0.146,0.5023
79,"RT @Pastor__West: Dear Lord,

Today, may You bring a quick and miraculous end to the darkness in our world. Whether Your healing comes toda…","{'neg': 0.078, 'neu': 0.82, 'pos': 0.102, 'compound': 0.1531}",0.078,0.82,0.102,0.1531
80,@ruinousjelly You’re welcome!! ♡ it’s such a good song omg 😭😭,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.7568}",0.0,0.519,0.481,0.7568
81,RT @putra_dhudhuan: @RizmaWidiono @aniesbaswedan Good gubernur. Gpp pak anis bnyak cebong yg nyiyir..  data dibuka gpp agar masyrakat pada…,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.4404}",0.0,0.861,0.139,0.4404
82,"RT @Balatafun: ♥️Word of the Day - #608 ""Fabricating"" an invention; a lie; fiction, falsification, concoction. Ex:  CNN was caught ""Fabrica…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
83,@higanzakuras good morning rocky!!! good morning el!!!,"{'neg': 0.0, 'neu': 0.418, 'pos': 0.582, 'compound': 0.7887}",0.0,0.418,0.582,0.7887
84,"@OTC_Coach Just listened to this now, really good ideas and insight into setting up futsal with schools but also ho… https://t.co/guAi8DO49v","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2724}",0.0,0.905,0.095,0.2724
85,"We all have a job,and that’s being ARMYs,and our pay is pretty good,actually this time although 12 hours is long bu… https://t.co/kU8rNvlMc5","{'neg': 0.059, 'neu': 0.805, 'pos': 0.136, 'compound': 0.4215}",0.059,0.805,0.136,0.4215
86,RT @JackConnie: @turk3655 @zepiron Just the good ol boys.....,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",0.0,0.734,0.266,0.4404
87,RT @MsAriesMoon: Start coming to fruition in the winter months (December 21st- March 20th of the 2020-2021 year) you may think that’s long…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
88,RT @fastlovess: good morning  https://t.co/szPmxwZ2EY,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.0,0.58,0.42,0.4404
89,@MakiSkye @hank_brew @BANGsmash18 Man is flashy. Good frame data too. Good defensive options and good rushdown,"{'neg': 0.0, 'neu': 0.55, 'pos': 0.45, 'compound': 0.8316}",0.0,0.55,0.45,0.8316
90,Is rachel good at singing or does she just melodically scream,"{'neg': 0.185, 'neu': 0.616, 'pos': 0.199, 'compound': 0.0516}",0.185,0.616,0.199,0.0516
91,"@dazzlingcriss its a cover but their sean and conor price and the songs all along the watch tower, it quite differe… https://t.co/XkEYVJtUlR","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
92,"RT @alanalda: Treat yourself to a couple of minutes of feeling good. These babies are wearing hearing aids, and for the first time they're…","{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.7269}",0.0,0.738,0.262,0.7269
93,"RT @vasutheatre: Show time:- #Vettaikaaran On @SunTV
Those days 😍💥
We released this movie on December 18th 2009. We received maranamass res…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
94,@MikmaqAngel Application Deadline is in November. Time to start planning a good proposed area of research. https://t.co/KhgZXzkvUU,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.0,0.838,0.162,0.4404
95,"RT @EdWestwick: What a time, would I still look good in the limo? https://t.co/X2Q57NvMkn","{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}",0.0,0.791,0.209,0.4404
96,@mojos55 @MattHancock Look up regional Nhs England directors and email them with the offer. They are practical and usually very good.,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.4927}",0.0,0.862,0.138,0.4927
97,"Hold up - what makes him corny tho??? 

Why do ppl associate good men with being ‘’corny’’??? 

Maybe that’s the pr… https://t.co/EiMxXnHWrR","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.594}",0.0,0.838,0.162,0.594
98,"These Melbourne pics are something 🔥✨✨✨... Ozzie air good, 😏 🌟 https://t.co/1wCTMT6fgl","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.0,0.756,0.244,0.4404
99,"RT @richardmarx: Hey, remember how for years we had “smoking” and “non-smoking” sections of planes and restaurants? Then, eventually, enoug…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
